Painting_Name,Artist_Name,Date,Artist_Gender,Subject_Clothing,Subject_Location,Subject_Sight,Subject_Activity
Portrait of a Woman,Jean Marc Nattier,1753,Male,Dressed,Interior,LookingAt,Activity
"Mrs. Charles Frederick (Martha Rigden, died 1794)",George Romney,1754,Male,Dressed,Unknown,LookingAt,Potrait
Hannah Mahady,Jeremiah Meyer,1755,Male,Dressed,Unknown,LookingAt,Potrait
Mrs. Comyns,John Smart,1755,Male,Dressed,Unknown,LookingAt,Potrait
Mrs. Caroline Deas,John Smart,1755,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman as Diana,Arnaud Vincent de Montpetit,1760,Male,Dressed,Outdoor,LookingAt,Activity
"Marie Rinteau, called Mademoiselle de Verrières",François Hubert Drouais,1761,Male,Dressed,Interior,LookingAt,Activity
"Portrait of a Woman, Said to Be Lady Dering",John Smart,1761,Male,Dressed,Unknown,LookingAt,Potrait
"Marianne Dorothy Harland (1759–1785), Later Mrs. William Dalrymple",Richard Cosway,1762,Male,Dressed,Interior,LookingAway,Activity
Madame Sophie de France (1734–1782),François Hubert Drouais,1762,Male,Dressed,Unknown,LookingAt,Potrait
A Woman with a Dog,Jean Honoré Fragonard,1764,Male,Dressed,Interior,LookingAt,Activity
"Anne Dashwood (1743–1830), Later Countess of Galloway",Sir Joshua Reynolds,1764,Male,Dressed,Outdoor,LookingAway,Potrait
"Maria Luisa of Parma (1751–1819), Later Queen of Spain",Laurent Pécheux,1765,Male,Dressed,Interior,LookingAt,Potrait
Miss Ramus,John Smart,1765,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Joseph Wright (Wright of Derby),1765,Male,Dressed,Interior,LookingAt,Potrait
Narcisa Barañana de Goicoechea,Goya (Francisco de Goya y Lucientes),1766,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Young Woman as a Vestal Virgin,François Hubert Drouais,1767,Male,Dressed,Interior,LookingAt,Activity
Portrait of a Woman,Samuel Cotes,1767,Male,Dressed,Interior,LookingAt,Potrait
"Mrs. Horton, Later Viscountess Maynard (died 1814/15)",Sir Joshua Reynolds,1767,Male,Dressed,Interior,LookingAt,Potrait
The Love Letter,Jean Honoré Fragonard,1770,Male,Dressed,Interior,LookingAt,Activity
Portrait of a Young Woman,Jean Honoré Fragonard,1770,Male,Dressed,Outdoor,LookingAway,Potrait
"Portrait of a Young Woman, Called Miss Sparrow",Thomas Gainsborough,1770,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,James Jennings,1770,Male,Dressed,Unknown,LookingAt,Potrait
A Woman with the Initials MCC,John Bogle,1773,Male,Dressed,Unknown,LookingAt,Potrait
"Anne Elizabeth Cholmley (1769–1788), Later Lady Mulgrave",Gainsborough Dupont,1774,Male,Dressed,Unknown,LookingAway,Potrait
Mrs. John Puget (Catherine Hawkins),Richard Gainsborough Dupont,1774,Male,Dressed,Interior,LookingAt,Potrait
Study Head of a Woman,Jean-Baptiste Greuze,1775,Male,Dressed,Unknown,LookingAway,Potrait
"Portrait of a Woman, Said to Be Princess Apraxine",Continental Painter,1775,Anonymous,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Richard Crosse,1775,Male,Dressed,Interior,LookingAway,Potrait
Portrait of a Woman,French Painter,1775,Anonymous,Dressed,Interior,LookingAt,Activity
Portrait of a Woman,Peter Adolf Hall,1775,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Peter Adolf Hall,1775,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Swiss Painter,1775,Anonymous,Dressed,Interior,LookingAt,Potrait
"Madame de Saint-Morys (Eléonore Elisabeth Angélique de Beauterne, 1742–1824)",Joseph Siffred Duplessis,1776,Male,Dressed,Interior,LookingAway,Potrait
Janet Law,Sir Henry Raeburn,1776,Male,Dressed,Outdoor,LookingAt,Potrait
"Lady Maitland (Catherine Connor, died 1865)",Sir Henry Raeburn,1776,Male,Dressed,Outdoor,LookingAt,Potrait
"Lady Elizabeth Stanley (1753–1797), Countess of Derby",George Romney,1776,Male,Dressed,Outdoor,LookingAway,Activity
Mrs. Charlotte Lennox,John Smart,1777,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Augustin Dubourg,1778,Male,Dressed,Interior,LookingAt,Potrait
"Mrs. Peter De Lancey (Elizabeth Colden, 1720–1784)",George Engleheart,1778,Male,Dressed,Unknown,LookingAt,Potrait
Mrs. Grace Dalrymple Elliott (1754?–1823),Thomas Gainsborough,1778,Male,Dressed,Outdoor,LookingAway,Potrait
Head of a Young Woman,Jean-Baptiste Greuze,1780,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Young Woman,James Nixon,1780,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Louis Léopold Boilly,1781,Male,Dressed,Unknown,LookingAway,Potrait
"Portrait of a Woman, Said to Be Emily Bertie Pott (died 1782)",George Romney,1781,Male,Dressed,Unknown,LookingAway,Potrait
Miss Chambers,Isabella Beetham,1782,Female,Dressed,Unknown,LookingAt,Potrait
"Mrs. George Baldwin (Jane Maltass, 1763–1839)",Sir Joshua Reynolds,1782,Male,Dressed,Interior,LookingAway,Potrait
"Mrs. George Horsley (Charlotte Mary Talbot, died 1828)",John Westbrooke Chandler,1783,Male,Dressed,Outdoor,LookingAt,Potrait
"Madame Grand (Noël Catherine Vorlée, 1761–1835)",Elisabeth Louise Vigée Le Brun,1783,Female,Dressed,Interior,LookingAway,Activity
Madame Ingouf,Vincent,1785,Male,Dressed,Outdoor,LookingAway,Potrait
Portrait of a Woman,John Barry,1785,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,French Painter,1785,Anonymous,Dressed,Interior,LookingAt,Activity
Portrait of a Woman,French Painter,1785,Anonymous,Dressed,Interior,LookingAt,Activity
"Maria Louisa (1745–1792), Empress of Austria",Heinrich Friedrich Füger,1785,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Young Woman,Peter Adolf Hall,1785,Male,Dressed,Interior,LookingAt,Potrait
"Portrait of a Woman, Possibly Barbara (1768–1829), Marchioness of Donegall",Anne Foldsone Mee,1785,Female,Dressed,Unknown,LookingAway,Potrait
"Portrait of a Woman, Said to Be Lady Sophia Boyle",Anne Foldsone Mee,1785,Female,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,James Nixon,1785,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Villers,1785,Female,Dressed,Interior,LookingAt,Potrait
"Madame Jean-Baptiste Nicolet (Anne Antoinette Desmoulins, 1743–1817)",Jean-Baptiste Greuze,1787,Male,Dressed,Interior,LookingAt,Activity
"Mrs. Bryan Cooke (Frances Puleston, 1765–1818)",George Romney,1787,Male,Dressed,Interior,LookingAt,Potrait
A Woman Playing a Harp,Joseph Marie Bouton,1788,Male,Dressed,Interior,LookingAt,Activity
"Mrs. Richard Alexander Oswald (Louisa Johnston, ?born about 1760, died 1797)",Sir Henry Raeburn,1789,Male,Dressed,Outdoor,LookingAway,Potrait
"Mrs. Lewis Thomas Watson (Mary Elizabeth Milles, 1767–1818)",Sir Joshua Reynolds,1789,Male,Dressed,Outdoor,LookingAt,Potrait
"Comtesse de la Châtre (Marie Charlotte Louise Perrette Aglaé Bontemps, 1762–1848)",Elisabeth Louise Vigée Le Brun,1789,Female,Dressed,Interior,LookingAt,Activity
Francesca Ghirardi Lechi (1773–1806),Giovanni Battista Gigola,1789,Male,Nude,Interior,LookingAt,Potrait
Portrait of a Woman,French Painter,1790,Anonymous,Dressed,Interior,LookingAt,Activity
"Portrait of a Woman, Said to Be the Comtesse de Guiche",French Painter,1790,Anonymous,Dressed,Unknown,LookingAt,Potrait
"Portrait of a Woman; (reverse, now covered by relining canvas) Study of a Child's Head",John Hoppner,1790,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Jean-Baptiste Isabey,1790,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Young Woman,Jean Antoine Laurent,1790,Male,Dressed,Outdoor,LookingAt,Activity
"Elizabeth Farren (born about 1759, died 1829), Later Countess of Derby",Sir Thomas Lawrence,1790,Male,Dressed,Outdoor,LookingAt,Potrait
"Portrait of a Woman, Said to Be Lady Agnes Anne Wrothesley",Horace Hone,1791,Male,Dressed,Unknown,LookingAt,Potrait
"Mrs. William Man Godschall (Sarah Godschall, 1730–1795)",John Russell,1791,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Frédéric Dubois,1793,Male,Dressed,Unknown,LookingAt,Potrait
"Mrs. Richard Bache (Sarah Franklin, 1743–1808)",John Hoppner,1793,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Young Woman,Louis Léopold Boilly,1793,Male,Dressed,Unknown,LookingAway,Potrait
"Mrs. Whaley (died 1798, Isle of Man)",George Chinnery,1794,Male,Dressed,Outdoor,LookingAway,Potrait
"Marie-Thérèse-Charlotte (1778–1851), Daughter of Louis XVI",Jacques Joseph de Gault ,1795,Male,Dressed,Unknown,LookingAway,Potrait
Agnes Sewell,Thomas Hazlehurst,1795,Anonymous,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Etienne Charles Le Guay,1795,Male,Dressed,Outdoor,LookingAt,Activity
Portrait of a Woman,Peter Edward Stroely,1795,Male,Dressed,Outdoor,LookingAt,Potrait
"Madame Jean-Baptiste Isabey (Jeanne Laurice de Salienne, died 1829)",Jean-Baptiste Isabey,1796,Male,Dressed,Unknown,LookingAt,Potrait
"Mrs. Thomas Pechell (Charlotte Clavering, died 1841)",John Hoppner,1799,Male,Dressed,Unknown,LookingAt,Potrait
Madame Charles Maurice de Talleyrand Périgord (1761–1835),Baron François Gérard,1799,Male,Dressed,Interior,LookingAway,Potrait
"María Luisa of Parma (1751–1819), Queen of Spain",Goya,1800,Male,Dressed,Interior,LookingAt,Activity
Portrait of a Woman with Tapestry Work,Jean-Baptiste Jacques Augustin,1800,Male,Dressed,Interior,LookingAt,Activity
Portrait of a Woman,Sir William Beechey,1800,Male,Dressed,Outdoor,LookingAway,Potrait
Portrait of a Woman,F. Carbonara,1800,Anonymous,Dressed,Unknown,LookingAway,Potrait
Lola Montez (1818–1861),Josef Heigel,1800,Male,Dressed,Unknown,LookingAt,Potrait
Marie Joséphine Charlotte du Val d'Ognes (1786–1868),Marie Denise Villers,1801,Female,Dressed,Interior,LookingAt,Activity
Margaret Rieche Richard,Dupuy,1801,Male,Dressed,Unknown,LookingAt,Potrait
Mrs. Robert Shurlock Sr. (Ann Manwaring),John Russell,1801,Male,Dressed,Interior,LookingAt,Activity
The Hours,Samuel Shelley,1801,Female,Dressed,Unknown,LookingAt,Activity
Josefa de Castilla Portugal y van Asbrock de Garcini (1775–about 1850),Goya (Francisco de Goya y Lucientes),1804,Male,Dressed,Unknown,LookingAway,Potrait
Lady Hester King (died 1873),John Hoppner,1804,Male,Dressed,Unknown,LookingAway,Potrait
Elizabeth Bushby,Andrew Plimer,1804,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Jacques Delaplace,1805,Male,Dressed,Outdoor,LookingAt,Activity
Portrait of a Woman,Vincent Bertrand,1805,Female,Dressed,Outdoor,LookingAt,Potrait
Portrait of a Woman,Vincent Bertrand,1805,Female,Dressed,Outdoor,LookingAt,Potrait
Sophia (1464–1512) of Poland,Franz Wolfgang Rohrich,1807,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Joseph Bordes,1808,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Carl August Senff,1808,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Joshua Wilson Faulkner,1809,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Jean Urbain Guérin,1810,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Jean-Baptiste Isabey,1810,Male,Dressed,Unknown,LookingAt,Potrait
Horsewoman,Théodore Gericault,1811,Male,Dressed,Outdoor,LookingAway,Potrait
Portrait of a Woman,Joseph Bordes,1812,Male,Dressed,Unknown,LookingAt,Potrait
