Object ID,Department,Object Date,Continent,Tags,Link Resource
15,American Decorative Arts,17,Na,Maurya|Mauryan|Bees|Lotuses|Dishes,http://www.metmuseum.org/art/collection/search/15
151,American Decorative Arts,17,Na,Roosters|Butterflies,http://www.metmuseum.org/art/collection/search/151
44109,Asian Art,17,An,Scorpions|Snakes|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/44109
42,American Decorative Arts,18,Na,Amulets|Netsuke|Dogs|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/42
103,American Decorative Arts,18,An,Animals|Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/103
187,American Decorative Arts,18,Na,Animals|Birds|Fountains|Butterflies|Trees,http://www.metmuseum.org/art/collection/search/187
203351,European Sculpture and Decorative Arts,18,An,Animals|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/203351
58569,Asian Art,18,An,Animals|Dragonflies,http://www.metmuseum.org/art/collection/search/58569
186,American Decorative Arts,18,Na,Animals|Fish|Butterflies|Sun,http://www.metmuseum.org/art/collection/search/186
28412,Arms and Armor,18,An,Bees,http://www.metmuseum.org/art/collection/search/28412
28844,Arms and Armor,18,An,Bees,http://www.metmuseum.org/art/collection/search/28844
29649,Arms and Armor,18,An,Bees,http://www.metmuseum.org/art/collection/search/29649
51410,Asian Art,18,An,Bees|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/51410
58475,Asian Art,18,An,Bees|Poppies,http://www.metmuseum.org/art/collection/search/58475
78673,Asian Art,18,An,Birds|Books|Elephants|Fish|Insects,http://www.metmuseum.org/art/collection/search/78673
187705,European Sculpture and Decorative Arts,18,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/187705
201426,European Sculpture and Decorative Arts,18,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/201426
203569,European Sculpture and Decorative Arts,18,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/203569
234901,European Sculpture and Decorative Arts,18,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/234901
234902,European Sculpture and Decorative Arts,18,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/234902
234908,European Sculpture and Decorative Arts,18,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/234908
226534,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/226534
204076,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/204076
236804,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/236804
203137,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/203137
233021,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/233021
192813,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/192813
70229,Asian Art,18,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/70229
46738,Asian Art,18,An,Birds|Butterflies|Flowers|Dishes,http://www.metmuseum.org/art/collection/search/46738
47457,Asian Art,18,An,Birds|Butterflies|Flowers|Dishes,http://www.metmuseum.org/art/collection/search/47457
224115,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/224115
233018,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/233018
222047,European Sculpture and Decorative Arts,18,An,Birds|Butterflies|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/222047
40619,Asian Art,18,An,Birds|Butterflies|Flowers|Plants|Vases,http://www.metmuseum.org/art/collection/search/40619
40811,Asian Art,18,An,Birds|Butterflies|Flowers|Trays,http://www.metmuseum.org/art/collection/search/40811
58615,Asian Art,18,An,Birds|Butterflies|Peonies|Plants,http://www.metmuseum.org/art/collection/search/58615
148,American Decorative Arts,18,Na,Birds|Butterflies|Plants,http://www.metmuseum.org/art/collection/search/148
105,American Decorative Arts,18,An,Birds|Butterflies|Roses|Leaves|Teapots,http://www.metmuseum.org/art/collection/search/105
204,American Decorative Arts,18,Na,Birds|Butterflies|Scorpions|Leaves,http://www.metmuseum.org/art/collection/search/204
124,American Decorative Arts,18,Eu,Birds|Butterflies|Trays,http://www.metmuseum.org/art/collection/search/124
190,American Decorative Arts,18,Na,Birds|Castles|Queens|Men|Insects|Butterflies|Leopards|Lions|Human Figures|Flowers,http://www.metmuseum.org/art/collection/search/190
221851,European Sculpture and Decorative Arts,18,An,Birds|Dragonflies,http://www.metmuseum.org/art/collection/search/221851
203,American Decorative Arts,18,Na,Birds|Houses|Butterflies,http://www.metmuseum.org/art/collection/search/203
218569,European Sculpture and Decorative Arts,18,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/218569
203139,European Sculpture and Decorative Arts,18,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/203139
234906,European Sculpture and Decorative Arts,18,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/234906
220082,European Sculpture and Decorative Arts,18,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/220082
166,American Decorative Arts,18,Na,Birds|Insects|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/166
187828,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/187828
187850,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/187850
194414,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194414
218158,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/218158
194332,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194332
194322,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194322
194358,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194358
194363,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194363
194364,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194364
194477,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/194477
200963,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/200963
228732,European Sculpture and Decorative Arts,18,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/228732
49313,Asian Art,18,An,Birds|Insects|Flowers|Leaves|Dishes,http://www.metmuseum.org/art/collection/search/49313
205907,European Sculpture and Decorative Arts,18,An,Birds|Insects|Leaves,http://www.metmuseum.org/art/collection/search/205907
52,American Decorative Arts,18,An,Birds|Medallions|Butterflies,http://www.metmuseum.org/art/collection/search/52
55035,Asian Art,18,An,Birds|Men|Butterflies|Trees,http://www.metmuseum.org/art/collection/search/55035
216,American Decorative Arts,18,Na,Birds|Men|Women|Camels|Butterflies,http://www.metmuseum.org/art/collection/search/216
11040,American Decorative Arts,18,An,Birds|Portraits|Women|Cats|Butterflies,http://www.metmuseum.org/art/collection/search/11040
104,American Decorative Arts,18,An,Birds|Roosters|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/104
34447,Arms and Armor,18,An,Birds|Snails,http://www.metmuseum.org/art/collection/search/34447
220,American Decorative Arts,18,Na,Boars|Birds|Butterflies|Snails|Flowers,http://www.metmuseum.org/art/collection/search/220
78693,Asian Art,18,An,Books|Houses|Crabs|Snails,http://www.metmuseum.org/art/collection/search/78693
76,American Decorative Arts,18,An,Books|Men|Women|Butterflies,http://www.metmuseum.org/art/collection/search/76
119,American Decorative Arts,18,Na,Bridges|Butterflies|Boats,http://www.metmuseum.org/art/collection/search/119
80,American Decorative Arts,18,Na,Brooches|Butterflies,http://www.metmuseum.org/art/collection/search/80
118,American Decorative Arts,18,Na,Buildings|Butterflies|Beakers,http://www.metmuseum.org/art/collection/search/118
207819,European Sculpture and Decorative Arts,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/207819
201139,European Sculpture and Decorative Arts,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/201139
23414,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/23414
29467,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/29467
29470,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/29470
29471,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/29471
30045,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/30045
35017,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/35017
43809,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/43809
58291,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/58291
60886,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/60886
66088,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/66088
67112,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67112
67675,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67675
71437,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/71437
58723,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/58723
66166,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/66166
66171,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/66171
66237,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/66237
66555,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/66555
67026,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67026
67072,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67072
67075,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67075
67218,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67218
67222,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67222
67436,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67436
67579,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67579
67646,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67646
67752,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/67752
68771,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/68771
68823,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/68823
68840,Asian Art,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/68840
25675,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/25675
28223,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/28223
28315,Arms and Armor,18,An,Butterflies,http://www.metmuseum.org/art/collection/search/28315
